GAME,TITLE,ARTIST,BPM,LEVEL,TYPE
PRIME 2,Leather,Doin,200,S18 S21 D22,REMIX
PRIME 2,BEDLAM,SANY-ON,183,S8 S15 S18 D13 D20,NORMAL
PRIME 2,Hey U,MAZO,162,S5 S10 S15 D10 D16,NORMAL
PRIME 2,Overblow2,MAX,155,S5 S9 S15 D7 D14,NORMAL
PRIME 2,Acquaintance,Outsider,130,S20 D22,FULL
PRIME 2,Magical Vacation,SID-SOUND,154,S6 S11 S16 D7 D13,NORMAL
PRIME 2,SOBER,BIG BANG,135,S2 S4 S7 S13 D3 D14,NORMAL
PRIME 2,Shub Niggurath,Nato,220,S11 S15 S19 D17,NORMAL
PRIME 2,PRIME2 Opening,MAX,145,S7 S12 S17 D18,SHORT
PRIME 2,Up&Down,EXID,112,S8 S18 D19,FULL
PRIME 2,Seize My Day,Rainbowdragoneyes,160,S2 S6 S10 S14 S18 D7 D12 D19,NORMAL
PRIME 2,Redline,Archefluxx,170,S5 S10 S16 D13 D20,NORMAL
PRIME 2,Good Night,Dreamcatcher,196,S3 S5 S9 S17 D5 D19,NORMAL
PRIME 2,Start On Red,Nato,160,S4 S8 S11 S15 D12,NORMAL
PRIME 2,Super Stylin',Warak,146,S7 S9 S11 S17 D9 D12,NORMAL
PRIME 2,Allegro Furioso,DM Ashura,176,S5 S10 S13 S17 D14,NORMAL
PRIME 2,Utsushiyo No Kaze feat.Kana,void,152,S7 S11 S16 D11 D19,NORMAL
PRIME 2,HUSH,Yassi Pressman & Nadine Lustre,82,S15 D16,FULL
PRIME 2,HUSH,Yassi Pressman & Nadine Lustre,82,S3 S5 S8 S14 D6 D15,NORMAL
PRIME 2,Hyperion,M2U,145,S5 S9 S14 D11 D18,NORMAL
PRIME 2,HELIX,ESTi,175,S5 S7 S11 S16 S18 D11 D15,NORMAL
PRIME 2,BOOMBAYAH,BLACKPINK,125,S10 S17 D18,FULL
PRIME 2,STEP,SID-SOUND,156,S7 S13 S17 D12 D18,NORMAL
PRIME 2,Chase Me,Dreamcatcher,200,S3 S5 S9 S15 S18 D11 D19,NORMAL
PRIME 2,Kasou Shinja,MAX,170,S4 S7 S9 S16 S18 D12 D19,NORMAL
PRIME 2,Me Gustas Tu,GFriend,106,S16 D17,FULL
PRIME 2,Just Kiddin,Vospi,125,S5 S13 S16 D9 D18 DP5,NORMAL
PRIME 2,Clue,Transin,140,S4 S8 S12 S16 S18 D10 D18 D20 DP4,NORMAL
PRIME 2,Death Moon,SHK,160,S9 S15 S19 D17 D22,SHORT
PRIME 2,Sarabande,MAX,157,S9 S16 S18 D17,SHORT
PRIME 2,BANG BANG BANG,BIG BANG,135,S6 S18 D20,FULL
PRIME 2,Vulcan,Memme,175,S22 D24,REMIX
PRIME 2,Le Grand Bleu,KIEN,165,S7 S12 S16 D9 D18 CO2 DP6,NORMAL
PRIME 2,Asterios -ReEntry-,ATAS,148,S4 S6 S11 S14 S17 D8 D18 DP3,NORMAL
PRIME 2,Christmas Memories,Warak,170,S3 S5 S8 S14 D9 D15 CO2 DP4,NORMAL
PRIME 2,Death Moon,SHK,160,S3 S6 S10 S14 S17 D7 D17 DP3,NORMAL
PRIME 2,Moon Light Dance,TatshMusicCircle,182,S3 S7 S11 S14 D4 D15 DP4,NORMAL
PRIME 2,Acquaintance,Outsider,130,S3 S7 S9 S17 D7 D18 CO2 DP4,NORMAL
PRIME 2,NUMBER NINE,T-ARA,128,S3 S5 S8 S11 S13 D8 D15 DP4,NORMAL
PRIME 2,You're the best,MAMAMOO,122,S2 S4 S6 S10 S15 D7 D10 DP2,NORMAL
PRIME 2,Up&Down,EXID,112,S2 S4 S7 S9 S15 D5 D15 DP5,NORMAL
PRIME 2,BOOMBAYAH,BLACKPINK,125,S2 S4 S6 S9 S13 D7 D15 CO2 DP3,NORMAL
PRIME 2,Jackpot,Block B,130,S1 S3 S6 S9 S15 D6 D15 DP3,NORMAL
PRIME 2,Pick Me,PRODUCE101,128,S1 S3 S5 S8 S13 D6 D10 D16 DP3,NORMAL
PRIME 2,RHYTHM TA,iKON,82,S2 S4 S7 S10 S15 D5 D11 DP4,NORMAL
PRIME 2,Me Gustas Tu,GFriend,106,S2 S4 S6 S13 D6 D14 D16 DP4,NORMAL
PRIME 2,BANG BANG BANG,BIG BANG,135,S1 S3 S5 S10 S15 SP3 D6 D16 DP3,NORMAL
PRIME 2,Arcana Force,mzet:-P,175,S4 S9 S16 D10 D17 DP2,NORMAL
PRIME 2,Sarabande,MAX,157,S2 S4 S7 S16 D11 D18 DP4,NORMAL
PRIME 2,Bring Back The Beat,Lunatic Sounds,160,S7 S12 S17 D8 DP5,NORMAL
PRIME 2,Further,Doin,194,S10 S18 S22 D14 D22 DP3,NORMAL
PRIME 2,God Mode feat. skizzo,Nato,152,S5 S8 S13 S18 D9 D17 DP4,NORMAL
PRIME 2,Hellfire,Memme,170,S7 S11 S15 D9 D23 DP4,NORMAL
PRIME 2,Last Rebirth,SHK,120,S3 S5 S8 S13 D7 D14 DP3,NORMAL
PRIME,Heavy Rotation,AKB48 (Cover),178,S10 S15 S18 D9 D16 D20,SHORT
PRIME,Stardust Overdrive,typeMARS,175,S16 D17,SHORT
PRIME,PRIME opening,MAX,128,S15 D15 CO5,SHORT
PRIME,Move That Body!,DM Ashura,145,S16 D18,SHORT
PRIME,Rock the house,Matduke,175,S15 S18 D20,SHORT
PRIME,Selfishness,SID-SOUND,160,S17 D18,SHORT
PRIME,Silhouette_Effect,Nato,167,S18 D17,SHORT
PRIME,Yog-Sothoth,Nato,200,S13 S18 S21 D16 D21,SHORT
PRIME,Super Fantasy,SHK,145,S19 D17,SHORT
PRIME,Creed - 1st Desire -,TatshMusicCicle,163,S18 S23 D19 D24,FULL
PRIME,Bad Apple!! feat. Nomico,Masayoshi Minoshima,138,S10 S14 S17 D11 D18 D22 CO4,FULL
PRIME,FOUR SEASONS OF LONELINESS ver β,TatshMusicCicle,178,S14 S19 D14 D19,FULL
PRIME,Pandora,KARA,140,S17 D18,FULL
PRIME,Move That Body!,DM Ashura feat. Skizzo & Hanna,145,S17 S18 D19,FULL
PRIME,NoNoNo,Apink,106,S14 S15 D16,FULL
PRIME,Sugar Free,T-ara,128,S15 D15,FULL
PRIME,Bar Bar Bar,Crayon Pop,134,S6 D15,FULL
PRIME,PARADOXX,MAX & NATO,220,S21 S23 S26 D28,REMIX
PRIME,Avalanquiem,MAX & MEMME,175,S19 S23 D25,REMIX
PRIME,Beethoven Influenza,Banya & Warak,170,S18 S21 D21,REMIX
PRIME,Like Me,SHK,155,S6 S10 S14 S17 D11 D18 CO2,NORMAL
PRIME,HYPERCUBE,MAX,145,S6 S10 S15 S17 D10 D16 D20 DP4,NORMAL
PRIME,Break It Down,MAZO,176,S7 S14 S16 D5 D12 D17,NORMAL
PRIME,Heavy Rotation,AKB48 (Cover),178,S2 S4 S5 S9 S16 S18 D6 D16 D19 CO2,NORMAL
PRIME,Unlock,Miura Daichi (Cover),128,S2 S3 S5 S7 S11 S14 D3 D9 D15,NORMAL
PRIME,Just Hold on (To All Fighters),void,170,S4 S7 S10 S16 S21 D12 D18 D22 D25 DP2,NORMAL
PRIME,Idealized Romance,ETIA.,140,S2 S4 S7 S11 S16 S18 D10 D18,NORMAL
PRIME,Queen Of The Red,ETIA.,188,S4 S7 S11 S15 S18 D12 D16 D19 DP3,NORMAL
PRIME,Bad ∞ End ∞ Night,HitoshizukuP X yama,204,S2 S4 S6 S10 S13 S17 S19 D11 D18 D23 DP4 CO3,NORMAL
PRIME,PRIME,Tatsh,165,S4 S7 S11 S16 S18 S20 D12 D16 D18 D20,NORMAL
PRIME,Houkago Stride,Last Note.,225,S3 S6 S10 S15 S19 D10 D16 D21,NORMAL
PRIME,Renai Yuusha,Last Note.,190,S3 S6 S12 S17 S19 D4 D13 D18 D20 CO3,NORMAL
PRIME,Trashy Innocence,Last Note.,230,S1 S3 S5 S10 S14 S20 D10 D15 D24 DP4 CO2,NORMAL
PRIME,Setsuna Trip,Last Note.,145,S1 S3 S5 S9 S13 S16 S18 D8 D14 D19 DP3 CO2,NORMAL
PRIME,Ai Yurete,TatshMusicCicle,152,S1 S3 S6 S9 S13 S16 D8 D15 D18,NORMAL
PRIME,FOUR SEASONS OF LONELINESS ver β,TatshMusicCicle,178,S1 S4 S6 S10 S14 S17 S20 D10 D14 D18 D21 DP2 CO2,NORMAL
PRIME,Sora no shirabe,TatshMusicCicle,172,S3 S8 S12 S15 S18 D11 D16 D20 CO2,NORMAL
PRIME,Creed - 1st Desire -,TatshMusicCicle,163,S4 S7 S12 S18 S21 D11 D18 D23 DP5,NORMAL
PRIME,Bad Apple!! feat. Nomico,Masayoshi Minoshima,138,S1 S3 S5 S9 S13 S15 S17 S19 D10 D18 D21 DP2,NORMAL
PRIME,Smile Diary,you,175,S4 S7 S11 S16 S19 D8 D17 D20,NORMAL
PRIME,Mitotsudiara,ETIA.,136,S1 S4 S9 S15 S18 D10 D16 D19,NORMAL
PRIME,Sudden Romance,void,152,S4 S6 S9 S14 S19 D8 D14 D19,NORMAL
PRIME,Imprinting,Sakuzyo,175,S4 S7 S11 S17 S20 D12 D20 D24 DP4,NORMAL
PRIME,Yoropiku Pikuyoro!,Bakusute Sotokanda Icchome,198,S3 S5 S9 S15 SP3 D5 D16 DP4,NORMAL
PRIME,Amai Yuuwaku Dangerous,Bakusute Sotokanda Icchome,125,S1 S3 S6 S11 S15 D5 D10 D16 DP3,NORMAL
PRIME,Moment Day,MAX,158,S3 S6 S10 S15 S17 S18 D9 D16 D19 CO2,NORMAL
PRIME,Reminiscence,MAX,155,S3 S6 S10 S17 D10 D18 DP3 CO2,NORMAL
PRIME,Stardust Overdrive,typeMARS,175,S4 S9 S16 S18 D5 D13 D16 D19 D24 DP3,NORMAL
PRIME,Enhance Reality,Matduke,170,S9 S14 S19 D11 D20,NORMAL
PRIME,Across the Ocean,Zircon,130,S3 S6 S9 S15 D11 D16,NORMAL
PRIME,Que Viva La Vida,Wisin Ft. Michel Teló,130,S2 S4 S6 S16 D7 D16,NORMAL
PRIME,Melodia,Lylloo feat. Egas,135,S2 S4 S6 S14 D4 D15,NORMAL
PRIME,Limbo,Daddy Yankee,125,S2 S4 S6 S15 D5 D15,NORMAL
PRIME,video out c,Vospi,198,S9 S14 S17 S22 D14 D23 DP4,NORMAL
PRIME,Karyawisata,Vesuvia x REDSHiFT,173,S4 S7 S10 S15 S17 S20 D7 D16 DP4,NORMAL
PRIME,Achluoias,D_AAN,200,S8 S15 S18 S22 S24 D12 D16 D24 D26 DP3,NORMAL
PRIME,Ragnarok,SynthWulf,170,S7 S11 S16 S18 S20 D9 D13 D17 DP3,NORMAL
PRIME,Feel My Happiness,3R2,175,S3 S10 S17 D6 D18,NORMAL
PRIME,Milky Way Galaxy,3R2,175,S6 S11 S17 D11 D18 DP2,NORMAL
PRIME,MATADOR,Cranky,168,S4 S7 S10 S18 S21 D7 D16 D19 D21 DP3,NORMAL
PRIME,Dolly KiSS,SID-SOUND,149,S3 S6 S14 S17 D6 D15 DP3,NORMAL
PRIME,Cosmical Rhythm,SID-SOUND,128,S3 S6 S8 S15 D10 D16 D18 DP2,NORMAL
PRIME,Selfishness,SID-SOUND,160,S3 S6 S11 S17 D12 D18 DP3,NORMAL
PRIME,THE REVOLUTION,MAX & DOOM,160,S7 S11 S17 S19 D12 D19 D22 DP3,NORMAL
PRIME,One,Epik High,135,S1 S3 S5 S15 D5 D16 DP3,NORMAL
PRIME,Ineffective Boss WIthout Power,Norazo,170,S4 S6 S8 S18 D5 D19 DP3 CO3,NORMAL
PRIME,Flying duck,Cherry Filter,158,S3 S7 S10 S16 D11 D18,NORMAL
PRIME,Loner,Outsider,125,S3 S5 S8 S15 S19 D6 D17 D22,NORMAL
PRIME,NoNoNo,Apink,106,S2 S3 S5 S14 SP15 D5 D14 DP4 DP15 CO2,NORMAL
PRIME,HER,Block B,162,S4 S6 S9 S16 D7 D17 DP3 CO2,NORMAL
PRIME,Sugar Free,T-ara,128,S4 S6 S8 S15 S17 D5 D16 DP3,NORMAL
PRIME,Supermagic,Supreme Team,112,S2 S4 S6 S14 D5 D15 DP4,NORMAL
PRIME,Hate Don't Hate!,Dal shabet,123,S2 S4 S6 S15 D6 D16 DP2,NORMAL
PRIME,VENUS,SHINWHA,126,S2 S3 S5 S14 D6 D14,NORMAL
PRIME,Pandora,KARA,140,S2 S4 S7 S16 D6 D16 DP4,NORMAL
PRIME,I'm Sorry,CNBLUE,131,S4 S6 S9 S16 D8 D17 DP3,NORMAL
PRIME,very good,Block B,136,S3 S6 S9 S15 D5 D15 DP4,NORMAL
PRIME,ELVIS,AOA,135,S2 S4 S7 S15 S17 D5 D16 DP3,NORMAL
PRIME,On and On,VIXX,119,S2 S4 S6 S15 D5 D15 DP5,NORMAL
PRIME,Bar Bar Bar,Crayon Pop,134,S3 S5 S8 S14 D4 D11 D15 CO3,NORMAL
PRIME,Robot battle,CYO Style,198,S8 S12 S18 S21 D12 D19 D23 DP5,NORMAL
PRIME,You again my love,CYO Style & Henohenomoheji,137,S1 S3 S6 S14 D6 D14,NORMAL
PRIME,Campanella,Cashew,140,S6 S9 S16 D10 D16,NORMAL
PRIME,Red Snow,Cashew,170,S7 S11 S16 S19 D12 D20,NORMAL
PRIME,Point Zero One,SynthWulf,170,S9 S16 S20 D10 D17 D22 DP4,NORMAL
PRIME,scorpion king,r300k,113,S3 S5 S8 S15 S19 D10 D16 D20 DP3,NORMAL
PRIME,Rock the house,Matduke,175,S7 S10 S17 D10 D13 D18 D22 DP3,NORMAL
PRIME,Move That Body!,DM Ashura,145,S3 S5 S8 S12 S17 S20 D10 D18,NORMAL
PRIME,Annihilator Method,DM Ashura,192,S7 S10 S15 S19 D12 D20 D24 DP4,NORMAL
PRIME,Allegro Piu Mosso,DM Ashura,160,S4 S6 S11 S16 S19 D13 D19,NORMAL
PRIME,Sugar Conspiracy Theory,MAX,174,S1 S3 S6 S10 S15 S18 S19 D7 D11 D17 D20 DP5,NORMAL
PRIME,1950,SLAM,200,S17 S20 S23 S25 D21 D25 D27 DP3,NORMAL
PRIME,Blaze Emotion(Band version),Yahpp,192,S2 S8 S17 D4 D18,NORMAL
PRIME,Hyacinth,Yahpp,192,S9 S13 S18 S21 D12 D19 D23,NORMAL
PRIME,Red Swan,Yahpp,172,S4 S6 S8 S18 D12 D20 D21 DP4 DP20 CO2,NORMAL
PRIME,Violet Perfume,SHK,140,S4 S6 S8 S14 S17 D10 D15 D19 DP4,NORMAL
PRIME,Super Fantasy,SHK,145,S4 S7 S10 S14 S16 S19 D11 D18 D21 DP2 CO2,NORMAL
PRIME,Removable Disk0,Doin,180,S3 S6 S15 D5 D16,NORMAL
PRIME,Leakage Voltage,Doin,180,S10 S15 S17 S20 D12 D19 D22,NORMAL
PRIME,Amphitryon,Gentle Stick,150,S6 S11 S18 D12 D20,NORMAL
PRIME,Hestia,Gentle Stick,150,S4 S7 S10 S18 D11 D20,NORMAL
PRIME,Mad5cience,Paul Bazooka,130,S5 S16 S20 D7 D16,NORMAL
PRIME,Meteorize,Paul Bazooka,136,S3 S5 S10 S15 S17 D8 D16 D18 DP3,NORMAL
PRIME,B2,MAX,158,S4 S7 S11 S16 S18 D13 D19 DP3,NORMAL
PRIME,You Got Me Crazy,MAX,128,S4 S6 S9 S17 S18 D5 D18 DP4,NORMAL
PRIME,Requiem,MAX,160,S4 S7 S11 S16 S19 D9 D19 D23 DP4,NORMAL
PRIME,Force of Ra,Memme,180,S7 S12 S17 S19 D12 D20,NORMAL
PRIME,Avalanche,Memme,175,S4 S6 S9 S18 S22 D10 D19 D24 DP3,NORMAL
PRIME,Chinese restaurant,Memme,175,S4 S7 S10 S16 S18 D10 D17 D20 DP3,NORMAL
PRIME,Silhouette_Effect,Nato,167,S4 S7 S10 S18 D12 D20 DP4,NORMAL
PRIME,Yog-Sothoth,Nato,200,S9 S18 S21 S23 D17 D23 D25 DP5 CO3,NORMAL
PRIME,Elysium,Warak,128,S4 S8 S15 D10 D16 DP2,NORMAL
PRIME,Latino Virus,Warak,170,S3 S7 S9 S17 D12 D19 DP3 CO2,NORMAL
PRIME,Katkoi,M2U,180,S7 S10 S14 S18 D12 D15 D19,NORMAL
PRIME,Nemesis,M2U,160,S4 S7 S11 S16 S18 D12 D20 DP4 CO2,NORMAL
FIESTA 2,U Got Me Rocking,MAX,128,S17 D17,SHORT
FIESTA 2,Unique,SHK,145,S18 D16,SHORT
FIESTA 2,FFF,Doin,200,S18 D21,SHORT
FIESTA 2,Ignis Fatuus(DM Ashura Mix),DM Ashura,220,S21 D21,SHORT
FIESTA 2,Passacaglia,SynthWulf,175,S17 D18,SHORT
FIESTA 2,Pop The Track,J-Mi & Midi-D,160,S18 D16,SHORT
FIESTA 2,What Are You Doin'?,Doin & MAX,200,S19 D24,REMIX
FIESTA 2,Infinity RMX,SynthWulf & MAX,175,S20 D20,REMIX
FIESTA 2,Mental Rider,SQUAR,120-140,S12 S16 S21 D13 D19 D23,NORMAL
FIESTA 2,Yeo rae a,SID SOUND,90.01,S1 S3 S5 S8 S13 D5 D12,NORMAL
FIESTA 2,Fllow me,SHK,155,S4 S6 S9 S14 S17 D9 D18 CO2,NORMAL
FIESTA 2,Windmill,Yak Won,246,S8 S13 S17 S21 D14 D18 D24,NORMAL
FIESTA 2,Log In,SHK,140,S4 S7 S10 S18 S21 D10 D20,NORMAL
FIESTA 2,Sugar Eyes,Sugar Eyes,122,S1 S3 S6 S8 S10 S13 D4 D9,NORMAL
FIESTA 2,Dam,Ben Chalatit,141,S1 S3 S5 S8 D4 D9,NORMAL
FIESTA 2,Online,Saykoji,118,S1 S4 S6 S15 D4 D15,NORMAL
FIESTA 2,Sik Asik,Ayu Ting Ting,147,S3 S5 S8 S13 D4 D14,NORMAL
FIESTA 2,Lucid(PIU Edit),Yak Won,40-190,S4 S7 S10 S16 S20 D11 D20 D23 CO2,NORMAL
FIESTA 2,U Got Me Rocking,MAX,128,S3 S6 S8 S17 S18 D4 D17 DP3,NORMAL
FIESTA 2,D,MAX,180,S4 S7 S9 S18 D11 D18 D19,NORMAL
FIESTA 2,Accident,MAX,183,S4 S7 S10 S19 D11 D20,NORMAL
FIESTA 2,Unique,SHK,145,S3 S6 S10 S15 S17 D12 D16 D19,NORMAL
FIESTA 2,FFF,Doin,200,S10 S17 S23 D12 D22 D24 CO3,NORMAL
FIESTA 2,Hypnosis(SynthWulf Mix),BanYa & SynthWulf,175,S8 S11 S17 S21 D13 D15 D20,NORMAL
FIESTA 2,Love Is A Danger Zone(Cranky Mix),BanYa & Cranky,155,S6 S12 S18 S20 S22 D8 D16 D20 D24 CO2,NORMAL
FIESTA 2,Ignis Fatuus(DM Ashura Mix),BanYa & DM Ashura,220,S9 S15 S19 S23 D15 D17 D19 D23 D25 CO2,NORMAL
FIESTA 2,Elise,DM Ashura,162,S4 S7 S10 S17 S19 S22 D13 D16 D23 CO2,NORMAL
FIESTA 2,Baroque Virus,Zircon,135,S5 S9 S17 D11 D18 D20,NORMAL
FIESTA 2,Passacaglia,SynthWulf,175,S4 S7 S10 S16 S20 D12 D17 D22 D24,NORMAL
FIESTA 2,Pop The Track,J-Mi & Midi-D,160,S2 S7 S9 S16 S19 D9 D18 D20 CO2,NORMAL
FIESTA 2,VVV,ZiGZaG,310,S18 S23 D16 D19,NORMAL
FIESTA 2,Dream To Nightmare,Nightmare,178,S19 S21 S22 D22 D24,NORMAL
FIESTA 2,Star Command,Zircon,155,S3 S5 S12 S15 S19 D14 D21 D23,NORMAL
FIESTA 2,Be Alive (Raaban Inc. Mix),Stian K,142,S2 S5 S8 S15 S17 D10 D16 CO2,NORMAL
FIESTA 2,Xuxa,Smiley,160,S3 S5 S9 S14 D12 D18 CO2,NORMAL
FIESTA 2,Utopia,Smiley,166,S4 S7 S9 S17 D9 D18,NORMAL
FIESTA 2,Rainspark,Sanxion7,125,S2 S5 S9 S15 D5 D17,NORMAL
FIESTA 2,Heel and Toe,KURi-ZiLL,185,S2 S7 S9 S17 D11 CO2,NORMAL
FIESTA 2,RE-RAVE,KURi-ZiLL,146,S2 S6 S11 S16 S17 D12 D18,NORMAL
FIESTA 2,Take Me Back,KaW,172,S3 S7 S9 S17 D10 D16,NORMAL
FIESTA 2,Virtual Emotion,Inspector K,180,S3 S7 S11 S17 D18 CO2,NORMAL
FIESTA 2,Tribe Attacker,Hi-G,150,S3 S6 S9 S16 D10 D15 CO4,NORMAL
FIESTA 2,Rippin' It Up,Future Funk Squad,128,S2 S5 S9 S16 D4 D18,NORMAL
FIESTA 2,Hardkore of the North,Diclonius Kid,190,S4 S7 S11 S21 D16 D23,NORMAL
FIESTA 2,Ladybug,Coconut,133,S1 S3 S5 S13 D13 CO2,NORMAL
FIESTA 2,Switchback,Celldweller,112,S3 S5 S9 S15 S18 D10 D16 D18,NORMAL
FIESTA 2,Rockhill,Beltaine,140,S3 S6 S11 S16 D12 D18,NORMAL
FIESTA 2,Y2Z,Affinity,162,S3 S6 S9 S16 D9 D17,NORMAL
FIESTA 2,Monolith,Affinity,196,S3 S5 S9 S16 D13 D18,NORMAL
FIESTA EX,Jonathan's Dream,MAX&Seorryang (SID-SOUND),140,S8 S16 D10 D15,NORMAL
FIESTA EX,Rave Until The Night Is Over,DM Ashura feat. MC Jay & Veronica,144,S2 S5 S9 S15 SP3 D11 D17 DP4,NORMAL
FIESTA EX,ASDF,Doin,170,S9 S17 D10 D17,NORMAL
FIESTA EX,Pine Nut,Doin,200,S13 S20 D16,NORMAL
FIESTA EX,Pavane,V.A.,160,S3 S6 S10 S17 SP2 D16 D22,NORMAL
FIESTA EX,X-Rave,DM Ashura,147,S16 D18,SHORT
FIESTA EX,Overblow,MAX,155,S18 D17,SHORT
