GAME,TITLE,ARTIST,BPM,LEVEL,TYPE
FIESTA EX,Take Out,SHK,170,S18 D19,SHORT
FIESTA EX,Cleaner,Doin,203,S21 D20,SHORT
FIESTA EX,Trotpris,Doin,156,S14 D15,SHORT
FIESTA EX,Crashday,Crash,220,S22 D22,FULL
FIESTA EX,Interference,Doin,180,S18 D15 D18,FULL
FIESTA EX,Everybody Got 2 Know,MAX,128,S19 D18,REMIX
FIESTA EX,Vacuum Cleaner,Doin,222.22,S15 S20 S25 D20 D27,REMIX
FIESTA EX,Necromancy,Zircon,173,S4 S7 S10 S18 S20 SP2 D13 D19 D24 DP3,NORMAL
FIESTA EX,Smells Like A Chocolate,Vospi,175,S4 S6 S9 S16 SP1 D12 D17 DP3,NORMAL
FIESTA EX,Native,SHK,135,S3 S5 S9 S17 S20 SP2 D10 D18 DP3,NORMAL
FIESTA EX,X-Rave,DM Ashura,147,S3 S6 S9 S17 SP2 D11 D20 DP6,NORMAL
FIESTA EX,The Devil,Banya Production,130-240,S4 S6 S9 S12 S20 D13 D21 CO2,NORMAL
FIESTA EX,Hungarian Dance V,Banya Production,145,S4 S6 S8 S17 S18 SP2 D9 D17,NORMAL
FIESTA EX,Allegro Con Fuoco,DM Ashura,156,S4 S7 S11 S17 S22 SP1 D9 D18 D23 DP6,NORMAL
FIESTA EX,Gargoyle,Sanxion7,150,S4 S7 S9 S18 S22 SP2 D12 D20 D23,NORMAL
FIESTA EX,What Happened,Throwdown,130,S3 S7 S12 S17 S20 D20 D23,NORMAL
FIESTA EX,Crashday,Crash,220,S4 S6 S11 S17 S23 S24 D17 D26,NORMAL
FIESTA EX,We Got 2 Know,MAX,128,S1 S5 S8 S17 S20 SP2 D4 D18 DP3 CO2,NORMAL
FIESTA EX,Overblow,MAX,155,S4 S7 S10 S16 S18 S20 SP2 D12 D18 D20 DP3 CO2,NORMAL
FIESTA EX,Butterfly,MAX & Rorychesell (SID-SOUND),128,S3 S6 S8 S13 S16 SP2 D7 D17 DP3,NORMAL
FIESTA EX,Take Out,SHK,170,S4 S7 S11 S17 S20 D13 D19 D22 D23 CO3,NORMAL
FIESTA EX,Reality,SHK,135,S3 S6 S8 S14 S17 SP4 D4 D15 DP2,NORMAL
FIESTA EX,Interference,Doin,180,S11 S18 SP2 D12 D19 D21 DP3,NORMAL
FIESTA EX,Cleaner,Doin,203,S4 S7 S12 S18 S22 S23 D20 D24 D26,NORMAL
FIESTA,Dieciseis,Nina Pilots,143,S2 S4 S6 S13 D5 D15,NORMAL
FIESTA,Napalm,Doin,185,S13 S19 S22 D14 D23,NORMAL
FIESTA,Tepris,Doin,145,S2 S4 S7 S16 D9 D18 CO2,NORMAL
FIESTA,Procedimientos Para Llegar A Un Común Acuerdo,PXNDX,160,S18 D16,SHORT
FIESTA,Destination,SHK,150,S9 S15 D18 D20,SHORT
FIESTA,Pumptris 8Bit ver.,YAHPP,162,S8 S16 D22,SHORT
FIESTA,Bemera,YAHPP,210,S13 S21 S23 D19,SHORT
FIESTA,K.O.A : Alice In Wonderworld,Banya Production,156,S8 S16 D18,SHORT
FIESTA,NX Opening,YAHPP,133,S16 D17,SHORT
FIESTA,Exceed2 Opening,Banya,178,S15 D19,SHORT
FIESTA,Witch Doctor,Banya,195,S14 S20 D16,SHORT
FIESTA,Moonlight,Banya,180,S16 S18 D20,SHORT
FIESTA,Solitary 2,Banya,136,S18 D17,SHORT
FIESTA,Winter,Banya,168,S6 S9 S16 D10 D17,SHORT
FIESTA,CHICKEN WING,Banya,200,S20 D13,SHORT
FIESTA,Extravaganza,Banya,195,S14 SP15 D14 D21,SHORT
FIESTA,Love is a Danger Zone pt. 2,Banya,162,S8 S19 D21,SHORT
FIESTA,Love is a Danger Zone,Banya,140,S13 S20 D17,SHORT
FIESTA,Final Audition Ep. 2-X,YAHPP,170,S20 D19,SHORT
FIESTA,Final Audition 3,Banya,130,S17 D16,SHORT
FIESTA,Final Audition 2,Banya,130,S16 D17,SHORT
FIESTA,Dawn of The Apocalypse,Vassline,100-210,S15 S21,FULL
FIESTA,NARCISISTA POR EXCELENCIA,PXNDX,164,S17 D18,FULL
FIESTA,Deja Vu,SOM2,115,S7 S16 D16,FULL
FIESTA,msgoon RMX pt.6,msgoon,150,S20 D19,REMIX
FIESTA,msgoon RMX pt.5,msgoon,102,S17 SP3 D17 DP4,REMIX
FIESTA,Set Up Me2 Mix,Banya Production,122,S17,REMIX
FIESTA,Pro POP Mix,Banya Production,151,S17,REMIX
FIESTA,Hard Core Rock Mix,Banya Production,196,S18 S21,REMIX
FIESTA,B.P Classic Remix 2,Banya Production,180,S11 S18,REMIX
FIESTA,PaPa helloizing,Banya Production,145-158,S8 S19,REMIX
FIESTA,B.P Classic Remix,Banya Production,164,S12 S18 D13 D19,REMIX
FIESTA,Pumping Jumping,Banya Production,116,S1 S3 S5 S13 S15 S17 S19 SP4 D6 D17 DP5 DP6,NORMAL
FIESTA,Mission Possible -Blow Back-,Banya Production,128,S18 SP3 D17 DP5,NORMAL
FIESTA,Phantom -Intermezzo-,Banya Production,140,S3 S7 S12 S15 S19 S21 D15 D19 D20 DP3,NORMAL
FIESTA,Get Up (and go),Banya Production,164,S4 S7 S10 S17 D11 D20 DP3,NORMAL
FIESTA,Turkey March -Minimal Tunes-,Banya Production,130,S3 S6 S8 S17 D10 D18 DP1,NORMAL
FIESTA,Hello William,Banya Production,170,S4 S6 S9 S17 S19 D9 D21,NORMAL
FIESTA,Tek -Club Copenhagen-,Banya Production,132,S3 S5 S16 S17 SP5 D17 DP4,NORMAL
FIESTA,Arirang,Banya Production,160,S9 S18 S22 D10 D20 DP2,NORMAL
FIESTA,Xenesis,Banya Production,152,S4 S7 S10 S18 SP1 D12 D15 D18,NORMAL
FIESTA,Do It Reggae Style,Banya Production,96,S13 SP4 D15 DP5,NORMAL
FIESTA,NARCISISTA POR EXCELENCIA,PXNDX,164,S3 S5 S8 S16 D9 D18,NORMAL
FIESTA,Vacuum,Doin,200,S19 S21 S23 D22 D25 DP3,NORMAL
FIESTA,Destination,SHK,150,S4 S7 S11 S16 S18 S19 D13 D20 DP5,NORMAL
FIESTA,U Got 2 Know,MAX,127,S2 S7 S8 S17 S18 S19 SP2 D18 DP4,NORMAL
FIESTA,Betrayer -act.2-,msgoon,92,S4 S6 S10 SP3 D15 DP3,NORMAL
FIESTA,Sorceress Eliese,YAHPP,158,S4 S6 S8 S10 S15 S18 S21 S23 D8 D17 D24 CO2,NORMAL
FIESTA,XTREE,YAHPP,190,S3 S7 S12 S20 SP2 D14 D18 D22 DP3,NORMAL
NX ~ NXA,Pumptris 8Bit ver.,YAHPP,162,S3 S5 S8 S16 S17 SP15 CO2,NORMAL
NX ~ NXA,Trato De No Trabarme,Big metra,105,S10 S22 D24,FULL
NX ~ NXA,Digan Lo Que Digan,Nina Pilots,162,S7 S18,FULL
NX ~ NXA,Procedimientos Para Llegar A Un Común Acuerdo,PXNDX,160,S6 S17 D7,FULL
NX ~ NXA,Panuelito Rojo,Big metra,98,S9 S16 D18,FULL
NX ~ NXA,Chopsticks Challenge,YAHPP,128,S15 D19,FULL
NX ~ NXA,msgoon RMX pt.3,msgoon,168,S6 S17 D11 D20,REMIX
NX ~ NXA,msgoon RMX pt.1,msgoon,120,S7 S17 D17,REMIX
NX ~ NXA,Turkey Virus,Banya Production,150-162,S8 S15 D11,REMIX
NX ~ NXA,Big metra Remix,Big metra,105,S5 S19 D17,REMIX
NX ~ NXA,Nina Pxndx Mix,Nina Pilots & PXNDX,160,S6 S16 D8,REMIX
NX ~ NXA,Dr.KOA,Banya Production,156,S8 S18 D20,REMIX
NX ~ NXA,Caprice of DJ Otada,Banya Production,180,S11 S19 D22 D25,REMIX
NX ~ NXA,The People didn't know “Pumping up”,Banya Production,134,S7 D4 D17,REMIX
NX ~ NXA,Final Audition Ep. 2-X,YAHPP,170,S3 S5 S8 S17 S23 D21 D24 DP2,NORMAL
NX ~ NXA,Dawn of The Apocalypse,Vassline,160-210,S4 S14 S21 D14 D21,NORMAL
NX ~ NXA,Toccata,Banya Production,104,S4 S7 S10 S17 SP3 D14 D17 DP6,NORMAL
NX ~ NXA,My Dreams,Banya Production,136,S4 S10 S17 S18 D18 DP5,NORMAL
NX ~ NXA,K.O.A : Alice In Wonderworld,Banya Production,156,S2 S3 S5 S8 S17 D10 D18,NORMAL
NX ~ NXA,DJ Otada,Banya Production,180,S4 S6 S8 S19 D14 D22,NORMAL
NX ~ NXA,The People didn't know,Banya Production,134,S2 S5 S15 D7 D17,NORMAL
NX ~ NXA,Digan Lo Que Digan,Nina Pilots,162,S3 S4 S6 S7 S9 S16 D13 D18 DP8,NORMAL
NX ~ NXA,Procedimientos Para Llegar A Un Común Acuerdo,PXNDX,160,S3 S7 S15 S18 D7 D16 D19,NORMAL
NX ~ NXA,Panuelito Rojo,Big metra,98,S5 S10 SP1 D18 DP4,NORMAL
NX ~ NXA,Chopsticks Challenge,YAHPP,128,S6 S17 SP1 D3 D16,NORMAL
NX ~ NXA,Cannon X.1,YAHPP,185,S3 S7 S10 S20 S21 D13 D22,NORMAL
NX ~ NXA,Blaze Emotion,YAHPP,170,S2 S3 S6 S7 S9 S16 S17 D10 D17 D18,NORMAL
NX ~ NXA,Money Fingers,Banya Production,170,S8 S16 D9 D17,REMIX
NX ~ NXA,Banya-P Guitar Remix,Banya Production,120,S22 D24,REMIX
NX ~ NXA,Energizer,Zig Zag,151,S4 S7 S9 S16 SP2 D11 D17,NORMAL
NX ~ NXA,Dance Vibrations,Elpis,130,S4 S5 S10 S14 SP1 D15 D18 DP6,NORMAL
NX ~ NXA,Dance All Night,OscillatorX,140,S5 S13 SP2 D15,NORMAL
NX ~ NXA,Jam O Beat,Banya Production,120,S7 S14 SP2 D14 DP6,NORMAL
NX ~ NXA,Higgledy Piggledy,Banya Production,150,S2 S6 S9 S14 S16 SP1 D8 D15,NORMAL
NX ~ NXA,Guitar Man,Banya Production,120,S3 S9 S13 S18 D10 D13 D19,NORMAL
NX ~ NXA,Pumptris Quattro,YAHPP,153,S3 S7 S12 S17 S19 SP10 D13 D20 D22 DP2,NORMAL
NX ~ NXA,Faster Z,YAHPP,162,S6 S8 S12 S16 S19 S20 D14 D20 D23,NORMAL
NX ~ NXA,Monkey Fingers 2,Banya Production,180,S6 S10 S17 D9 D19,NORMAL
NX ~ NXA,Money,Banya Production,130,S10 S14 SP4 D12 D16,NORMAL
NX ~ NXA,Caprice of Otada,Banya Production,160,S4 S6 S8 S17 D10 D18 D21,NORMAL
NX ~ NXA,Beat the ghost,Banya Production,124,S3 S9 S18 S20 D7 D20,NORMAL
NX ~ NXA,Solitary 1.5,YAHPP,136,S7 S16 SP4 D18 DP6,NORMAL
NX ~ NXA,Beat of The War 2 Full song,YAHPP,120-190,S19 D20,FULL
NX ~ NXA,Love is a Danger Zone 2 Full song,YAHPP,100-162,S19 D21,FULL
NX ~ NXA,BEMERA,YAHPP,210,S16 S24 D18 D26,REMIX
NX ~ NXA,WI-EX-DOC-VA,YAHPP,195,S15 S21 D15 D23,REMIX
NX ~ NXA,Final Audition Ep. 2-2,YAHPP,200,S7 S16 S17 S21 S22 D18 D23 D24,NORMAL
NX ~ NXA,Final Audition Ep. 2-1,YAHPP,170,S3 S4 S7 S18 S20 S21 D9 D21 D22,NORMAL
NX ~ NXA,Ugly Dee,Banya Production,92,S3 S5 S2009 D11 D15,NORMAL
NX ~ NXA,Bullfighter's Song,Banya Production,168,S4 S5 S8 S16 D9 D17 D21,NORMAL
NX ~ NXA,Gun Rock,Banya Production,104,S5 S11 S17 S18 D11 D18 D22,NORMAL
NX ~ NXA,Do U Know That-Old School,Banya Production,120,S4 S6 S14 D18 DP8,NORMAL
NX ~ NXA,2006. LOVE SONG,Banya Production,96,S3 S10 S12 S15 D13 DP5,NORMAL
NX ~ NXA,Chimera,YAHPP,210,S4 S7 S11 S16 S18 S23 D16 D25 CO2,NORMAL
NX ~ NXA,Arch of Darkness,Yahpp,135,S2 S4 S5 S8 S14 S16 D7 D18,NORMAL
NX ~ NXA,Witch Doctor #1,Yahpp,122,S2 S5 S8 S9 S15 S16 S18 SP3 D20 D17 D19 DP7,NORMAL
EXCEED ~ ZERO,Love is a Danger Zone 2 Try To B.P.M,BanYa,140-169,S12 S20 D14 D23,REMIX
EXCEED ~ ZERO,Chung Hwa Ban Jeom,Louis,149,S4 S6 S9 S14 SP1 D16 DP2,NORMAL
EXCEED ~ ZERO,Papa Gonzales,BanYa,145,S4 S6 S8 S14 D7 D18,NORMAL
EXCEED ~ ZERO,Phantom,BanYa,136,S2 S7 S12 S17 S18 D12 D19 D20 DP7,NORMAL
EXCEED ~ ZERO,Love is a Danger Zone pt. 2,BanYa,162,S4 S7 S9 S15 S16 S17 S21 D17 D23 CO2,NORMAL
EXCEED ~ ZERO,Witch Doctor,BanYa,195,S4 S6 S10 S16 S19 S21 D19 D22 D23,NORMAL
EXCEED ~ ZERO,Moonlight,BanYa,180,S4 S7 S10 S18 S19 D11 D20 D21,NORMAL
EXCEED ~ ZERO,Beat of The War 2,BanYa,120-190,S4 S5 S6 S10 S16 D12 D19,NORMAL
EXCEED ~ ZERO,Canon D FULL Song MIX,Banya,160,S11 S16 D23 D24,FULL
EXCEED ~ ZERO,BANYA HIPHOP REMIX,BanYa,99,S6 S7 DP6,REMIX
EXCEED ~ ZERO,Banya Classic Remix,BanYa,162-170,S7 S19 D11 D20,REMIX
EXCEED ~ ZERO,Tream Vook of the war,BanYa,184-202,S11 S19 D13 D22,REMIX
EXCEED ~ ZERO,Canon D,BanYa,160,S3 S7 S9 S17 S20 S21 D10 D17 D22 CO2,NORMAL
EXCEED ~ ZERO,Solitary 2,BanYa,136,S4 S6 S8 S17 SP3 D18 DP6,NORMAL
EXCEED ~ ZERO,Hi Bi,BanYa,145,S3 S5 S8 S15 S18 D8 D18 D20,NORMAL
EXCEED ~ ZERO,J Bong,BanYa,140,S3 S5 S7 S8 S13 D17 DP5,NORMAL
EXCEED ~ ZERO,I'll Give You All My Love,Wax,164,S2 S4 S7 S16 D7 D18,NORMAL
EXCEED ~ ZERO,Deja Vu,SOM2,115,S1 S3 S6 S13 D6 D13,NORMAL
EXCEED ~ ZERO,Get Up!,BanYa,180,S4 S8 S13 D9 D17 D18,NORMAL
EXCEED ~ ZERO,X Treme,BanYa,162,S4 S7 S9 S14 S18 D13 D19,NORMAL
EXCEED ~ ZERO,Pump Me Amadeus,BanYa,170,S3 S5 S9 S17 D10 D18 D19,NORMAL
EXCEED ~ ZERO,Blazing,BanYa,158,S3 S6 S9 S15 D19,NORMAL
EXCEED ~ ZERO,Monkey Fingers,BanYa,186,S3 S5 S8 S15 SP5 D17,NORMAL
EXCEED ~ ZERO,Naissance 2,BanYa,129,S6 S13 SP3 D15 D19 DP5,NORMAL
EXCEED ~ ZERO,Final Audition 3,BanYa,130,S2 S5 S6 S9 S14 S17 SP3 D17 D19 DP5,NORMAL
EXTRA ~ PREX3,Come to Me,BanYa,100-107,S4 S6 S11 S12 S15 SP3 D13 D14 DP6,NORMAL
EXTRA ~ PREX3,Beat of The War,BanYa,140-202,S3 S5 S9 S10 S15 D12 D19,NORMAL
EXTRA ~ PREX3,Hello,BanYa,140,S7 S16 D9 D16,NORMAL
EXTRA ~ PREX3,D Gang,BanYa,150,S4 S6 S9 S18 D7 D15,NORMAL
EXTRA ~ PREX3,Bee,BanYa,160,S4 S7 S10 S11 S15 S19 D11 D19 D21 D23,NORMAL
EXTRA ~ PREX3,Csikos Post,BanYa,180,S3 S7 S10 S13 D8 D16 D21,NORMAL
EXTRA ~ PREX3,Vook,BanYa,184,S4 S7 S9 S15 S17 S20 D12 D17 D18 D19,NORMAL
EXTRA ~ PREX3,Dance with me,BanYa,122,S2 S4 S6 S12 S14 SP4 D15 DP4 DP6,NORMAL
EXTRA ~ PREX3,Set me up,BanYa,120,S2 S4 S6 S9 S13 SP4 DP4 DP7,NORMAL
EXTRA ~ PREX3,Miss S' story,BanYa,111,S5 S18 SP3 D19 DP5,NORMAL
EXTRA ~ PREX3,We will meet again,BanYa,118,S3 S8 S13 S14 D8,NORMAL
EXTRA ~ PREX3,Oy Oy Oy,BanYa,148,S4 S6 S8 S13 SP2 D13 DP3,NORMAL
EXTRA ~ PREX3,Till the end of time,BanYa,140,S2 S4 S9 S13 S17 D8 D13 D16 DP3,NORMAL
EXTRA ~ PREX3,Will-O'-The-Wisp,BanYa,210,S3 S5 S10 S13 S19 D10 D13 D19 D21,NORMAL
EXTRA ~ PREX3,Winter,BanYa,168,S4 S6 S8 S15 D11 D17 D19,NORMAL
EXTRA ~ PREX3,Top City,BanYa,110,S4 S6 S12 D7,NORMAL
EXTRA ~ PREX3,Street show down,BanYa,124,S7 S15 SP4 D13 DP6,NORMAL
EXTRA ~ PREX3,Point Break,BanYa,92,S6 SP3 D14 DP6,NORMAL
EXTRA ~ PREX3,My way,BanYa,118,S3 S5 S8 S12 SP2 D15 DP4 DP6,NORMAL
EXTRA ~ PREX3,Mission Possible,BanYa,124,S5 S7 S13 S19 D8,NORMAL
EXTRA ~ PREX3,Maria,BanYa,136,S6 S11 S15 S18 D15,NORMAL
EXTRA ~ PREX3,Love is a Danger Zone,BanYa,140,S3 S7 S10 S15 S19 D6 D15 D20 CO2,NORMAL
EXTRA ~ PREX3,Get Your Groove On,BanYa,96,S4 S6 S13 D9,NORMAL
EXTRA ~ PREX3,Emperor,BanYa,150,S2 S5 S8 S11 S16 SP3 D17 DP3,NORMAL
EXTRA ~ PREX3,Dr. M,BanYa,145,S3 S7 S9 S12 S16 D11 D16,NORMAL
NX ~ NXA,EXTRA BanYa Remix,Banya Production,200,S8 S21 D13,REMIX
EXTRA ~ PREX3,Final Audition Ep. 1,BanYa,189,S4 S7 S8 S13 S15 S19 D11 D21 D23,NORMAL
EXTRA ~ PREX3,CHICKEN WING,BanYa,200,S4 S6 S9 S10 S17 S19 S21 D11 D17 D23,NORMAL
1ST ~ PERFECT COLLECTION,Slam,Novasonic,131,S3 S6 S9 S17 S18 D6 D20,NORMAL
1ST ~ PERFECT COLLECTION,Beethoven Virus,BanYa,162,S4 S7 S8 S13 S16 S17 D8 D18 D20 DP3,NORMAL
1ST ~ PERFECT COLLECTION,All I Want For X-mas,BanYa,130,S3 S6 S11 D7,NORMAL
1ST ~ PERFECT COLLECTION,Rolling Christmas,BanYa,142,S3 S5 S8 S13 D5 D13 D17 CO2,NORMAL
1ST ~ PERFECT COLLECTION,N,BanYa,106,S5 S16 SP2 D16 DP5,NORMAL
1ST ~ PERFECT COLLECTION,Pump Jump,BanYa,106,S4 S15 SP2 D17 DP4,NORMAL
1ST ~ PERFECT COLLECTION,Mr. Larpus,BanYa,190,S3 S5 S11 S14 S20 S22 D14 D17 D23,NORMAL
1ST ~ PERFECT COLLECTION,Solitary,BanYa,136,S2 S4 S6 S8 S9 S16 S17 SP3 D7 D16 DP5,NORMAL
1ST ~ PERFECT COLLECTION,Betrayer,BanYa,136,S1 S5 S8 S13 S16 SP2 D8 D13 D17,NORMAL
1ST ~ PERFECT COLLECTION,First Love,BanYa,104,S4 S9 SP1 D14 DP4,NORMAL
1ST ~ PERFECT COLLECTION,Oh! Rosa,BanYa,148,S7 S13 D7,NORMAL
1ST ~ PERFECT COLLECTION,Don't Bother Me,Tashannie,110,S4 S5 S10 SP2 D5 D13,NORMAL
1ST ~ PERFECT COLLECTION,Pumping Up,BanYa,135,S4 S12,NORMAL
1ST ~ PERFECT COLLECTION,She Likes Pizza,BanYa,230,S8 S9 D9 D16,NORMAL
1ST ~ PERFECT COLLECTION,Midnight Blue,BanYa,80,S12 SP4 D13 DP5,NORMAL
1ST ~ PERFECT COLLECTION,Free Style,BanYa,99,S13 SP1 DP3,NORMAL
1ST ~ PERFECT COLLECTION,Close Your Eye,BanYa,105,S4 SP2 DP3,NORMAL
1ST ~ PERFECT COLLECTION,Nightmare,BanYa,120,S1 S4 D13 DP5,NORMAL
1ST ~ PERFECT COLLECTION,Turkey March,BanYa,150,S3 S7 S12 S15 S18 D9 D17 D19 CO2,NORMAL
1ST ~ PERFECT COLLECTION,Naissance,BanYa,136,S4 S7 S8 S10 S20 D7 D15,NORMAL
1ST ~ PERFECT COLLECTION,Final Audition 2,BanYa,130,S4 S7 S8 S10 S16 D8 D17 D19 DP3,NORMAL
1ST ~ PERFECT COLLECTION,Repeatorment Remix,BanYa,150,S7 S19 D8,REMIX
1ST ~ PERFECT COLLECTION,Mobius Strip,Sechs Kies,106,S2 S4 S6 S12 D7 D14,NORMAL
1ST ~ PERFECT COLLECTION,Com'Back,Sechs Kies,158,S4 S6 S8 S15 D7 D16,NORMAL
1ST ~ PERFECT COLLECTION,Extravaganza,BanYa,195,S4 S7 S9 S11 S16 S21 D12 D17 D19,NORMAL
1ST ~ PERFECT COLLECTION,Final Audition,BanYa,130,S2 S6 S7 S9 S15 S17 D15 D17 DP3,NORMAL
1ST ~ PERFECT COLLECTION,Another Truth,Novasonic,136,S3 S5 S8 S15 D6 D16 D17 D22,NORMAL
1ST ~ PERFECT COLLECTION,Funky Tonight,CLON,105,S2 S4 S5 S12 D4 D14,NORMAL
1ST ~ PERFECT COLLECTION,Hypnosis,BanYa,180,S7 S15 S18 D8 D15 D18,NORMAL
1ST ~ PERFECT COLLECTION,Ignition Starts,BanYa,146,S8 S15 S18 D10 D17,NORMAL
